N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
1000,0.000178814,0,0.00018,100.66%
2000,0.000409842,0.00041,0,100.04%
3000,0.000693083,0,0.000693,99.99%
4000,0.000687838,0.000688,0.000001,100.17%
5000,0.001119137,0.000983,0.000136,99.99%
8000,0.00169301,0,0.001693,100.00%
10000,0.00248003,0.002371,0,95.60%
50000,0.012633085,0.011708,0.000022,92.85%
100000,0.02760005,0.027075,0,98.10%
150000,0.038229942,0.036803,0.00093,98.70%
200000,0.050174952,0.049891,0.000018,99.47%
300000,0.096535921,0.094531,0.000983,98.94%
400000,0.134675026,0.132078,0.001165,98.94%
500000,0.145029068,0.143397,0.001001,99.56%
600000,0.187092066,0.185783,0.000024,99.31%
700000,0.225758076,0.223043,0.001185,99.32%
800000,0.262390137,0.260784,0.000036,99.40%
900000,0.284281015,0.281864,0.000989,99.50%
1000000,0.289803982,0.286621,0.00204,99.61%
1500000,0.494340181,0.313308,0.180784,99.95%
2000000,0.702052832,0.644761,0.056938,99.95%
