N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
1000,0.000700951,0,0.000701,100.01%
2000,0.002804995,0.002338,0.000456,99.61%
3000,0.007176876,0.007119,0.000057,99.99%
4000,0.012371063,0.012335,0,99.71%
5000,0.015552998,0.015141,0.000405,99.96%
8000,0.041370869,0.041152,0.000218,100.00%
10000,0.060792923,0.060766,0,99.96%
50000,1.491773844,1.490361,0.00009,99.91%
100000,5.795691013,5.792963,0.001148,99.97%
150000,12.68989897,12.684299,0,99.96%
200000,23.03290796,23.020951,0.000038,99.95%
300000,51.22727704,51.20386,0.004026,99.96%
400000,91.89883208,91.267978,0.498756,99.86%
500000,143.0339098,142.948319,0.009967,99.95%
600000,204.5415111,204.282257,0.180005,99.96%
700000,279.370832,278.787647,0.369919,99.92%
800000,367.702287,367.419603,0.091996,99.95%
900000,465.8967299,463.990902,1.532476,99.92%
1000000,572.860497,570.781159,1.486077,99.90%
1500000,1297.592167,1294.084851,2.286963,99.91%
2000000,2326.976099,2322.124895,3.112824,99.93%
