N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
1000,0.0001199245,0.0000000000,0.0001200000,100.0629184891 %
2000,0.0002548695,0.0002560000,0.0000000000,100.4435756782 %
3000,0.0004420280,0.0004410000,0.0000000000,99.7674252427 %
4000,0.0008399487,0.0008410000,0.0000000000,100.1251678683 %
5000,0.0012099743,0.0010010000,0.0000660000,88.1836919803 %
8000,0.0019419193,0.0017000000,0.0000000000,87.5422565991 %
10000,0.0021672249,0.0020180000,0.0001410000,99.6204877448 %
50000,0.0119991302,0.0069300000,0.0048040000,97.7904211095 %
100000,0.0229899883,0.0212760000,0.0012900000,98.1557697160 %
150000,0.0292019844,0.0290520000,0.0000000000,99.4863896801 %
200000,0.0386681557,0.0376440000,0.0010240000,99.9995974202 %
300000,0.0592329502,0.0592320000,0.0000000000,99.9983958075 %
400000,0.0866811275,0.0791420000,0.0069530000,99.3238118091 %
500000,0.1071460247,0.1045950000,0.0020170000,99.5015916778 %
600000,0.1253759861,0.1248910000,0.0000350000,99.6410906799 %
700000,0.1537458897,0.1532710000,0.0000050000,99.6943725359 %
800000,0.1770150661,0.1582960000,0.0158390000,98.3729824757 %
900000,0.2219381332,0.1985990000,0.0176770000,97.4487785596 %
1000000,0.2245690823,0.2245690000,0.0000000000,99.9999633698 %
1500000,0.3518159389,0.3433980000,0.0039810000,98.7388465222 %
2000000,0.4463489056,0.4433840000,0.0029640000,99.9997971176 %
