N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
1000,0.0002808571,0.0002000000,0.0001000000,106.8158913413 %
2000,0.0005710125,0.0005850000,0.0000000000,102.4495966597 %
3000,0.0008819103,0.0008960000,0.0000000000,101.5976313598 %
4000,0.0013549328,0.0012600000,0.0001130000,101.3334399437 %
5000,0.0015199184,0.0015310000,0.0000000000,100.7290890039 %
8000,0.0025670528,0.0025840000,0.0000000000,100.6601795858 %
10000,0.0030128956,0.0029170000,0.0001080000,100.4017535808 %
50000,0.0187368393,0.0186970000,0.0000560000,100.0862509696 %
100000,0.0301439762,0.0301440000,0.0000000000,100.0000789161 %
150000,0.0446999073,0.0446970000,0.0000140000,100.0248159287 %
200000,0.0628390312,0.0628240000,0.0000250000,100.0158639946 %
300000,0.1008799076,0.1004970000,0.0000150000,99.6353014027 %
400000,0.1294369698,0.1294030000,0.0000230000,99.9915250202 %
500000,0.1824519634,0.1824010000,0.0000000000,99.9720674836 %
600000,0.1949839592,0.1949560000,0.0000140000,99.9928408480 %
700000,0.2294931412,0.2294280000,0.0000450000,99.9912236269 %
800000,0.2643699646,0.2640820000,0.0000020000,99.8918316610 %
900000,0.2998261452,0.2997640000,0.0000270000,99.9882781496 %
1000000,0.3341820240,0.3338580000,0.0000150000,99.9075282391 %
1500000,0.5165431499,0.5160850000,0.0000360000,99.9182740206 %
2000000,0.6996240616,0.6992140000,0.0000170000,99.9438181724 %
