N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
1000,0.001578093,0.001579,0,100.06%
2000,0.011958838,0.011763,0,98.36%
3000,0.022105932,0.020272,0.001777,99.74%
4000,0.0385499,0.037334,0.000283,97.58%
5000,0.057709932,0.056958,0.000548,99.65%
8000,0.175335884,0.174099,0.00117,99.96%
10000,0.250952005,0.250774,0.000154,99.99%
50000,6.514307022,6.500891,0.004027,99.86%
100000,26.09675598,26.087344,0.003005,99.98%
150000,57.87168813,57.763435,0.094357,99.98%
200000,103.787035,103.578433,0.169967,99.96%
300000,235.2228708,235.120899,0.01293,99.96%
400000,413.0868309,412.301987,0.536847,99.94%
500000,654.500252,653.813166,0.221853,99.93%
600000,939.0713689,936.234583,2.102393,99.92%
700000,1272.538475,1269.240574,2.64262,99.95%
800000,1657.482791,1652.917788,3.599022,99.94%
900000,2109.729407,2103.480214,4.94073,99.94%
1000000,2611.896916,2607.62153,2.920246,99.95%
1500000,5903.74287,5890.234104,9.504899,99.93%
2000000,10590.18808,10568.37474,14.964441,99.94%
