N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
1000,0.003489018,0.00339,0.000013,97.53%
2000,0.013597012,0.013479,0,99.13%
3000,0.032746077,0.030942,0.000185,95.06%
4000,0.070208073,0.060483,0.000194,86.42%
5000,0.114406109,0.11016,0,96.29%
8000,0.239748001,0.229909,0.001304,96.44%
10000,0.328822136,0.326195,0.001027,99.51%
50000,9.661012173,9.511787,0.014139,98.60%
100000,37.98478603,37.850671,0.016251,99.69%
150000,90.75040507,89.757888,0.045957,98.96%
200000,156.72557,155.929899,0.060042,99.53%
300000,351.064101,349.50945,0.174788,99.61%
400000,627.865891,623.703618,1.179561,99.52%
500000,1011.558202,997.936204,3.865336,99.04%
600000,1468.831443,1451.311597,2.657409,98.99%
700000,1960.421881,1940.586367,3.879165,99.19%
800000,2301.63509,2294.63484,4.928306,99.91%
900000,2887.820028,2880.711354,5.460277,99.94%
1000000,3582.397218,3574.87218,5.37153,99.94%
1500000,8102.124168,8083.755729,13.589123,99.94%
2000000,14695.9149,14659.80697,24.917667,99.92%
